first_name,last_name,birth_year,death_year
Mihhail,Lermontov,1814,1841
,Mielow,,
Hellmuth,Mielke,1859,1918
Ernesto,Mezzabotta,1852,1901
Ulr.,Meyers,,
Leopold,Meyer,,
Ferd.,Meyer,,
Conrad Ferdinand,Meyer,1825,1898
August Ferdinand,Meyer,1811,1894
Wilhelm,Meyer-Förster,1862,1934
Vladimir,Meštšerski,1839,1914
Aleksei,Merzljakov,1778,1830
N.,Mertz,,
Emma,Merk,1854,1925
Prosper,Mérimée,1803,1870
Dmitri,Merežkovski,1866,1941
Wolfgang,Menzel,1798,1873
E.,Mentzel,,
Gustaf Henrik,Mellin,1803,1876
O.,Meller,,
P.,Meli,,
J. Fr.,Meiyer,,
Friedrich,Meister,1841,1919
Friedrich,Meister,1841,1918
Alfred,Meissner,1822,1885
Wilhelm,Meinhold,1797,1851
Adelbert,Meinhardt,1848,1911
Oskar,Meding,1829,1903
Raymund,Mayr,1845,1905
Karl,May,1842,1912
L.,Maurice,,
Guy de,Maupassant,1850,1893
Friedrich von,Matthisson,1761,1831
,Mathilde,,
,Mathesius,,
Konstantin,Massalski,1802,1861
E.,Maslov,,
Dr.,Märzroth,1818,1888
Jules,Mary,1851,1922
Šotimaa kuninganna,Mary Stuart,1542,1587
Less,Martovõtš,1871,1916
Fritz,Marti,1866,1914
Jules de,Marthold,1847,1927
Frederick,Marryat,1792,1848
Emil,Marriot,1855,1938
Maro Orlando,Rolfe,1852,1925
Willy von,Marmondt,,
Eugenie,Marlitt,1825,1887
Eugene,Marlitt,1825,1887
E.,Marlitt,1825,1887
Stefan,Marks,,
Paul,Markquardt,1836,1872
,Markc,,
,Maria,,
Marcus,Aurelius,121,180
Richard,March,,
Gotthard Oswald,Marbach,1810,1890
Julius Bernhard,Mäns,1871,1935
Anton,Jürgenstein,1861,1933
Paul,Manroy,,
Jakob,Mändmets,1871,1930
E.,Malsow,,
Pieter van,Maisi,,
Jeanne,Mairet,1843,1936
Apollon,Maikov,1821,1897
Siegfried August,Mahlmann,1771,1826
M.,O.,,
M.,M.,,
M.,J.,,
Martin,Luther,1483,1546
,Jean-Paul,1763,1825
A.,Lugovoi,1853,1914
J.,Lüfberg,,
H.,Ludwig,,
Baieri kuningas,Ludwig II,,
J. von,Ludassi,,
Rudolf,Löwenstein,1819,1891
Hieronymus,Lorm,1821,1902
Elias,Lönnrot,1802,1884
Henry Wadsworth,Longfellow,1807,1882
,Longfellow,,
Mihhail,Lomonossov,1711,1765
Friedrich von,Logau,1605,1655
J.,Löfberg,,
C.,Livnheart,,
Alberto,Lista,1775,1848
,Liselotte,,
,Lionheart,,
Grunert,Linke,,
Hermann,Lingg,1820,1905
Ella,Lindner,,
Paul,Lindenberg,1859,1943
Paul,Lindau,1839,1919
Felix,Lilla,1842,1905
L. M.,Liljen,,
Hilja,Liinamaa-Pärssinen,1876,1935
Karl Ludwig Theodor,Lieth,1776,1850
Albert,Liepe,1860,
Friedrich (Fritz),Lienhard,1865,1929
C. F.,Liebetreu,,
Jonas,Lie,1833,1908
Jean,Paul,1763,1803
,Schwarz,,
,Hippel,,
,Israeli,,
Matthias,Claudius,1740,1815
Po,Li,701,762
Harriet Newell O’Brien,Lewis,1841,1878
P.,Letnjov,,
,Lessing,,
Gotthold,Ephraim,1729,1781
Gotthold Ephraim,Lessing,1729,1781
Therese,Lesnesco,,
Nikolai,Leskov,1831,1895
Hugo,Leru,,
MIhhail,Lermontov,1814,1841
Leopold Kordesch,?,,
Laura,Lengyni,,
Cäsar von,Lengerke,1803,1855
Nikolaus,Lenau,1802,1850
S.,Evremont,,
,Horn,,
,Seume,,
A.,Leman,,
Karl Gottfried von,Leitner,,
Johann Anton,Leisewitz,1752,1806
Nikolai,Leikin,1841,1906
Ivan,Lažetšnikov,1792,1869
Ivan,Lažetšnikov,1790,1869
Ivan,Lažentšikov,1790,1869
