teaviku_laad,sihtrühm,pealkiri,autor,originaal_pealkiri,Žanr,tõlkija,lähtekeel,lähtekirjandus,toimetaja,ees__järelsõna_autor,ilmumiskoht,kirjastaja,ilmumisaasta,füüsiline_kirjeldus,trükikordus,sarjaandmed,arvustatava_tõlkeraamatu_autor,väljaanne,number_leheküljed,sisu,märkused,id
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Zenta Saukoma süüasi","Steiga, Miermīlis 1927-2021; Volfs, Lazars",teadmata,jutustused,teadmata,teadmata,läti,,,,,19741975,,,,,<p>Koit</p>,"24., 26., 28. sept; 1., 3., 5., 8., 10., 12., 15., 17., 19., 22, 24., 26., 29., 31. okt.; 2., 5., 7., 12., 14., 16., 19., 21., 23.. 26., 28., 30. nov.; 3., 5., 9., 12., 14., 17., 19., 21., 24., 26., 28., 31. dets.; 4., 7., 9., 11., 14., 16., 18., 21., 23.",,,80807
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Keemiaõpetaja avastus","Sotnik, Juri 1914-1997",teadmata,jutustused,"Maksing, Meta",vene,vene,,,,,19791980,,,,,<p>Säde</p>,"18., 21., 25., 28. juuni; 7. , 11., 18., 21., 25., 28. juuli; 4., 11. , 15., 18., 25., 29, aug.; 1., 5., 8., 12., 19., 22., 26. sept.; 3., 6., 10., 13., 20., 24., 27., 31. okt.; 3., 14., 21., 24. nov.; 1., 5., 8., 15., 19., 22. dets.; 9., 12., 16., 23., 2",,,78028
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Sissetungijad planeedilt Maa","Silberberg, Robert 1935-",teadmata,romaanid,"Lään, Vello 1937-2022",inglise,ameerika,,,,,19711972,,,,,"<p>Põllumajanduse Akadeemia</p>","17., 25. nov.; 9., 16., 28. dets.; 6., 13., 20., 27. jaan.; 9., 17., 24. veebr.; 6., 16., 30. märts",,,83008
Tõlkeraamat,"Täiskasvanute ilukirjandus","Ristirüütlid : [romaan]","Sienkiewicz, Henryk 1846-1916",Krzyzacy,romaanid,"Skomorowska, Lydia 1897-1991",poola,poola,,"Kaplinski, Jerzy 1901-1943",Tartu,Loodus,19361937,"2 kd. (400, 448 lk.)",,"Nobeli laureaadid",,,,,"Väljaandes: poola keelest tõlkinud L. Skomorovska",57790
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Kuldne kett","Sibirtsev, Ivan 1924-1986","Золотая цепочка",romaanid,"Taavet, E.",vene,vene,,,,,19811982,,,,,"<p>Leninlik Lipp</p>","8.-12., 15.-16., 18.-19., 22., 24., 26., 29.-30. sept.; 1.-3., 6.-7., 9.-10., 13.-16., 20.-23., 27.-31. okt.; 3-5., 10.-14., 17., 19.-21., 24.-28. nov.; , 1.5., 8.,11.-12., 15.-18., 22.-25. dets.; 5.-9., 12.-13., 15.-16., 19.-20., 23., 26.-29. jaan.; 2.-6",,"Ajakirjast Советская милийция",77371
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Üksi kõikide vastu","Šestakov, Pavel 1932-2000","Игра против всех",jutustused,"Liiv, J.",vene,vene,,,,,19721973,,,,,"<p>Harju Elu</p>","16., 19., 21., 26., 28., 30. sept.; 3., 5., 7., 10., 12., 17., 24., 26., 31. okt.; 2., 4., 9., 11., 16., 18., 21., 23., 28. nov.; 2., 7., 12., 16., 19., 21., 23., 26. dets.; 1., 4., 6., 9., 11., 13., 16., 20., 23., 25., 27. jaan.; 1., 3., 6., 8., 10., 13.",,,82190
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Pressikeskus,"Semjonov, Julian 1931-1993",teadmata,romaanid,"Matt, Peeter",vene,vene,,,,,19841985,,,,,<p>Õhtuleht</p>,"22.-23., 26.-30. nov.; 1., 3.-7., 11.-15., 17.-19., 25.-26., 28.-29. dets.; 3.-5., 7.-8., 10., 12., 14.-19., 21.-26., 28.-31. jaan.; 1., 4.-9., 11.-16., 18., 20., 22., 26.-27. veebr.; 3- 6., 13.-14., 16., 18., 20.-23., 25.-30. märts; 1.-6., 8.-13., 15.-1",,"Ajakirjast Дружба народов",73578
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Pressikeskus,"Semjonov, Julian 1931-1993",teadmata,romaanid,"Matt, Peeter",vene,vene,,,,,19841985,,,,,<p>Õhtuleht</p>,"22.-23., 26.-30. nov.; 1., 3.-7., 11.-15., 17.-19., 25.-26., 28.-29. dets.; 3.-5., 7.-8., 10., 12., 14.-19., 21.-26., 28.-31. jaan.; 1., 4.-9., 11.-16., 18., 20., 22., 26.-27. veebr.; 3- 6., 13.-14., 16., 18., 20.-23., 25.-30. märts; 1.-6., 8.-13., 15.-1",,"Ajakirjast Дружба народов",76414
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Alternatiiv,"Semjonov, Julian 1931-1993",Альтернатива,jutustused,"Huik, Toomas 1931-2020",vene,vene,,,,,19751976,,,,,"<p>Noorte Hääl</p>","14.-16., 18.-21., 23., 25.-30. nov.; 2.-5., 7., 9.-14, 16.-24, 23.-28, 30.-31. dets.; 1.,.4., 6.-11., 13.-17., 20.-24., 27.-31. jaan.; 3.-7., 10.-13. veebr.",,"Ajakirjast Дружба народов",80269
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Seitseteist kevadist hetke","Semjonov, Julian 1931-1993","Семнадцать мгновений весны",romaanid,"Huik, Toomas 1931-2020",vene,vene,,,,,19711972,,,,,"<p>Noorte Hääl</p>","5., 7.-12., 14.-17., 19., 21.-26., 28.-31. dets.; 1., 4.-9 , 11.-16, 18.-23., 25.-30. jaan.; 1.-6., 8.-13., 15.-20., 22.-27., 29. veebr.; 1. märts",,"Ajakirjast Крокодил",82961
