name,birth_year,death_year
"Schweitzer, R.",,
"Schwarz, Marie",1819.0,1894.0
"Schwarz, J.",,
"Schwartzkoppen, Clotilde von",1830.0,1910.0
"Schwanfelder, Paul",,
"Schwabe, Gustav",1792.0,1850.0
"Schwab, Gustav",1792.0,1850.0
"Schumacher, Heinrich Vollrat",1861.0,1919.0
"Schumacher, H.",,
"Schultz, Georg Julius von",1808.0,1875.0
"Schuhmacher, Albert",1739.0,1789.0
Schuhmacher,,
"Schücking, Levin",1814.0,1883.0
"Schubert, H.",,
"Schubert, Gotthilf Heinrich von",1780.0,1860.0
"Schubert, Friedrich Karl",1852.0,1892.0
"Schubert, Ernst",,
"Schubart, Christian Friedrich Daniel",1739.0,1791.0
"Schroeder, Leopold von",1851.0,1920.0
"Schramm-Macdonald, Marie",1846.0,1908.0
"Schottler, C.",,
"Schönthan, Paul von",1853.0,1905.0
"Schobert, Hedwig",1857.0,1918.0
"Schnoor, Heinrich Christian",1762.0,1828.0
"Schnitzer, Manuel",1861.0,1941.0
"Schnelzer, August",1809.0,1853.0
"Schneider, G.",,
"Schnakenburg, Klara",,
"Schmitthenner, Adolf",1854.0,1907.0
"Schmitt, Ferdinand",,
"Schmidt, William",1872.0,1941.0
"Schmidt, A.",,
"Schmidt-Weissenfels, Eduard",1833.0,1893.0
"Schmid, Cristoph von",1768.0,1854.0
"Schmid, Christoph von",1768.0,1854.0
"Evers, Ernst Eduard",1844.0,1921.0
"Schloenbach, Arnold",1817.0,1866.0
"Schleiermacher, Friedrich Daniel Ernst",1768.0,1834.0
"Schjørring, Johanne",1836.0,1910.0
"Schilling, A.",,
"Schiller, Friedrich",1759.0,1805.0
Claudius,10.0,54.0
Keil,,
Saadi,1210.0,1292.0
"Menzel, Adolph",1815.0,1905.0
"Auffenberg, Moritz von",1852.0,1928.0
Hammer,,
"James, Henry",1843.0,1916.0
Körner,,
"Goethe, Johann Wolfgang",1749.0,1832.0
Balsau,,
Abraham a Santa Clara,1644.0,1709.0
L. E.,,
"Waller, Edmund",1606.0,1687.0
"Schiller, Ernst",1796.0,1841.0
"Schiftkorn, Ferd",,
"Schifkorn, Ferdinand",1828.0,1895.0
"Scheurlin, Georg",1802.0,1872.0
"Scheu, Andreas",1844.0,1927.0
"Schenkendorf, Max von",1783.0,1817.0
"Schelonski, N.",,
Schelling,,
"Scheller, S.",,
"Scheller-Mihhailov, Aleksandr",1838.0,1900.0
"Scheff, Harry",,
"Schefer, Leopold",1784.0,1862.0
"Schaul, Fr.",,
"Schätzler Perasin, G.",,
"Schalk, Adam Ernst",1827.0,1865.0
Schill,,
"Humboldt, Wilhelm von",1767.0,1835.0
"Gracián, Baltasar",1601.0,1658.0
"Mantegazza, Paolo",1831.0,1910.0
Aristoteles,384.0,322.0
"Pope, Alexander",1688.0,1744.0
"Rousseau, Jean-Jacques",1712.0,1778.0
"Gribojedov, Aleksandr",1795.0,1829.0
"Herdher, Johann Gottfried",1744.0,1803.0
Carmen Silva,1843.0,1916.0
"Schaffner, L.",,
"Schaefer, Antonia Bernardine Maria",1804.0,1889.0
"Sätherberg, Herman",1812.0,1887.0
"Sas, E.",,
"Saphir, Moritz Gottlieb",1795.0,1858.0
Santeri,,
"Sander, Johann Daniel",1759.0,1825.0
"Samarow, Gregor",1829.0,1903.0
"Saltõkov-Štšedrin, Mihhail",1826.0,1889.0
"Salis-Seewis, Johann Gaudenz von",1762.0,1834.0
"Salinger, E.",,
"Salias-de-Turnemir, Jevgeni",1840.0,1908.0
"Salgar, O.",,
"Sahler, C.",,
"Sahharov, A.",,
"Safonov, Sergei",1867.0,1904.0
"Sacher-Masoch, Leopold von",1836.0,1895.0
Sacher-Masoch,1836.0,1895.0
Saadi,1213.0,1292.0
S.,,
s.,,
S-s.,,
S,,
"Ruyter, Villem de",,
"Rutkowski, Jan",,
"Rutkovski, Faddei",,
"Russell, Clark",1844.0,1911.0
"Russel, D.",,
"Russ, Karl",1833.0,1899.0
"Ruppius, Otto",1819.0,1864.0
"Runge, Helene",,
"Runeberg, Johan Ludvig",1804.0,1877.0
"Runeberg, Johan Ludvig",1804.0,1877.0
Runeberg Lönnrot,,
"Rumi, Džalal ad-Din",1207.0,1273.0
Rühring,,
"Rudorff, L.",,
"Rudnizkaja, Sofia",,
"Rudnitskaja, Sofia",,
"Rudbell, Henrik",,
"Rückert, Friedrich",1788.0,1866.0
"Rowcroft, Charles",1798.0,1850.0
"Rouget, Paul",,
"Rothenburg, Adelheid von",1837.0,1891.0
"Roth, J.P.",,
"Rostoptšina, Jevdokia",1812.0,1858.0
"Ross, C.",,
"Rosny, J.-H., vanem",1856.0,1940.0
"Rõškov, Viktor",1863.0,1924.0
"Roskoschny, Hermann",1845.0,1896.0
"Roskoschny, H.",,
"Rosenthal-Bonin, Hugo",1840.0,1897.0
"Rosenthal-Bonin, B.",,
Rosenthal-Bonin Hugo,1840.0,1897.0
"Rosenhoff, Claudius",1804.0,1869.0
"Rosegger, Peter",1843.0,1918.0
"Roquette, Otto,",1824.0,1896.0
"Römer, Alwin",1861.0,1924.0
"Romanov, Konstantin",1858.0,1915.0
"Roland, Emil",,
"Rohl, H.",,
Roeller,,
Robert Eduard Prutz,1816.0,1872.0
"Rjazantsev, P.",,
"Rivoleti, H.",,
"Rittweger, Betty",1856.0,1942.0
"Rittershaus, Emil",1834.0,1897.0
"Ritter, R.",,
"Ristori, Adelaide",1822.0,1906.0
"Rist, G.",,
"Ring, Max",1817.0,1901.0
"Rievesmann, M.",,
"Riehl, Wilhelm Heinrich",1823.0,1897.0
"Rieger, Karl Heinrich",1726.0,1791.0
"Richter, H.",,
"Richebour, Emilie",1833.0,1898.0
"Ribaux, Adolphe",1864.0,1915.0
"Retcliffe, John",1815.0,1878.0
"Resa, T.",,
"Rene, Max",,
"Remin, A",,
"Reinick, Robert",1805.0,1852.0
Reinhold,,
Rein?,,
"Reimann, Eduard",1833.0,1898.0
"Reimann, Albrecht",,
"Reiman, Villem",1861.0,1917.0
"Reijonen, Juho",1855.0,1924.0
"Reid, Thomas Mayne",1818.0,1883.0
"Reid, Mayne Thomas",1818.0,1883.0
"Reichenbach, Moritz von",1849.0,1926.0
